globalIdentifier,definition,example,identifier,title,parentId,statusId,id,parent,note,denotation
9ce8ab5c-eee0-4b40-9e6f-e987457af7b1,"byggkonstruktion som skapar ett utökat utrymme inomhus, byggt ovanpå yttertaksystem eller byggnadsverk",,AL,Taktornskonstruktion,575566,0,575576,575566.0,,
83ddc1a0-a6d8-4bf2-b04f-3263d83a6901,byggkonstruktion som skapar ett utökat utrymme för ljustransmission,Ljusbrunnskonstruktion,AM,Ljusschaktskonstruktion,575566,0,575577,575566.0,,
7809b16a-b2be-4a4b-8838-dbfc548b8334,byggkonstruktion som stegvis förbinder två eller fler nivåer,,AF,Trappkonstruktion,575566,0,575571,575566.0,,
ae822a42-96ad-4401-99c7-87e2021cc7eb,trappkonstruktion med plansteg monterade i bärande vangstycken,,AF10,Vangstyckestrappkonstruktion,575571,0,311414,575571.0,,
5a63ee45-2c0c-469c-852b-bc50a3c7c2ee,trappkonstruktion med plansteg monterade i annan bärande konstruktion,,AF20,Vanglös trappkonstruktion,575571,0,311415,575571.0,,
1184339d-da70-4fee-ae87-4a77195cd986,trappkonstruktion med integrerade plan- och sättsteg,,AF30,Massiv trappkonstruktion,575571,0,311416,575571.0,,
094c0886-5b2f-4433-9c1c-5c743dd22d72,trappkonstruktion med separata steg i form av block,,AF40,Blockstegstrappkonstruktion,575571,0,311417,575571.0,,
a73a7636-95d8-4afb-b09a-f243ad45f5d2,byggkonstruktion som steglöst förbinder två eller fler nivåer,,AG,Rampkonstruktion,575566,0,575572,575566.0,,
2a5d7388-131a-49c1-a676-36a6ba8da901,rampkonstruktion integrerad i golv eller mark,,AG10,Inbyggd rampkonstruktion,575572,0,311418,575572.0,,
b61f7f09-8feb-444a-af2b-1dcdb58f8b25,rampkonstruktion fri från golv eller mark,,AG20,Fribärande rampkonstruktion,575572,0,311419,575572.0,,
2e27f08a-1d3b-417b-8b1e-f38ce37092ae,"byggkonstruktion som skapar ett anslutande utrymme utomhus, inbyggt i väggsystem eller yttertaksystem","Balkongkonstruktion, loftgångskonstruktoin, lastkajskonstruktion, svalgångskonstruktoin",AH,Utskjutande byggnadskonstruktion,575566,0,575573,575566.0,"""Balcony"" i ISO/IEC 81346-12:2018.",
40d5c136-f09d-4121-b15c-c5c8579eb904,utskjutande byggnadskonstruktion med kärna i form av ett solitt skikt,"Balkongplatta, loftgångsplatta
",AH10,Utskjutande byggnadskonstruktion med solid stomme,575573,0,311420,575573.0,,
c31d79aa-f277-454e-8d31-7887bf819d18,utskjutande byggnadskonstruktion med solid stomme av element av betong,,AH11,Utskjutande byggnadskonstruktion av element av betong,311420,0,312589,311420.0,,
847765f6-e476-4f69-83d3-3309440634c9,utskjutande byggnadskonstruktion med solid stomme av element av lättklinkerbetong,,AH12,Utskjutande byggnadskonstruktion av element av lättklinkerbetong,311420,0,312590,311420.0,,
8e6e1610-fa47-4fcc-9efc-72770c54e428,utskjutande byggnadskonstruktion med solid stomme av element av trä eller träbaserat material,,AH13,Utskjutande byggnadskonstruktion av element av trä eller träbaserat material,311420,0,312591,311420.0,,
3f859ee2-6524-483d-b38d-c4ac4bfb8bfa,utskjutande byggnadskonstruktion med kärna i form av balkar,,AH20,Utskjutande byggnadskonstruktion med stomme av balkar,575573,0,311421,575573.0,,
ed94c9ee-6f82-4d4e-b662-19913f119b2f,utskjutande byggnadskonstruktion med justerbar yttre anslutning,"angöringsbrygga, brygga, dockningsstation
",AH40,Rörlig utskjutande byggnadskonstruktion,575573,0,311422,575573.0,,
6f810900-6dc1-47f5-8246-e8c81b645adf,byggkonstruktion som avslutar en väggkonstruktion utåt,,AN,Fasadkonstruktion,575566,0,575682,575566.0,"Ej i ISO/IEC 81346-12:2018.
Med fasadkonstruktion avses en på ytterväggen monterad, huvudsakligen avskild konstruktion, till exempel med påhängda glas- eller plåtskivor. Den yttre väggbeklädnaden kan också ingå i AD Väggkonstruktion.",
9b6f5d99-efd0-4542-9094-bfadf0a4260c,fasadkonstruktion i nederkant,,AN10,Sockelkonstruktion,575682,0,311558,575682.0,,
4c27adae-f7a0-4961-8598-917fa9974009,byggkonstruktion som skapar ett utrymme under bjälklaget,,AP,Undertakskonstruktion,575566,0,575683,575566.0,Ej i ISO/IEC 81346-12:2018.,
98f04054-550d-4c09-b710-32fcb4f54e7a,byggkonstruktion som skapar ett utrymme över bjälklaget,Installationsgolv,AQ,Golvkonstruktion,575566,0,575684,575566.0,Ej i ISO/IEC 81346-12:2018.,
ea829f80-65ea-4e1b-b1f4-b92c6e5c672d,uppbyggande konstruktion som formar avgränsning mot terrass,Grundläggning,AB,Grundkonstruktion,575566,0,575567,575566.0,Det konstruktiva systemet AB avser hela grundkonstruktionen med alla sina skikt. De bärande och stabiliserande byggdelarna kan redovisas i BB Grundkonstruktion.,
34c842dc-b112-4b4d-aa46-86d0129a749a,grundkonstruktion med stomme i form av ett styvt liggande plan,"Platta på mark
",AB10,Plattgrundläggning,575567,0,311343,575567.0,,
12813296-ca37-4d4f-89b3-1edada76c228,grundkonstruktion med stomme i form av ett stående plan,torpargrund,AB20,Grundmursgrundläggning,575567,0,311344,575567.0,,
f9a2e598-6d37-4343-872a-3e3302a8cc30,grundmursgrundläggning av prefabricerade element av betong,byggdelstyp 31,AB21,Grundmursgrundläggning av prefabricerade element,311344,0,312585,311344.0,,
f902341a-19b2-4a77-a890-f588e2f28505,platsgjuten grundmursgrundläggning av betong,byggdelstyp 11,AB22,Platsgjuten grundmursgrundläggning,311344,0,312586,311344.0,,
d83110b9-4505-4436-8d65-d91f6a0b0d5d,grundkonstruktion med stomme i form av  vertikalt långsträckta objekt,,AB30,Plintgrundläggning,575567,0,311345,575567.0,,
d8d8ddb4-8266-4154-9cda-4a5c59837932,plintgrundläggning av prefabricerade element,,AB31,Plintgrundläggning av prefabricerade element,311345,0,312587,311345.0,,
5783fd8f-ed7a-43ce-a0bb-0dbe682eddca,platsgjuten plintgrundläggning,byggdelstyp 11,AB32,Platsgjuten plintgrundläggning,311345,0,312588,311345.0,,
3c6a9986-f313-483c-b8b9-045fbdba579b,grundkonstruktion med stomme i form av ett flexibelt liggande plan,,AB40,Rustbäddsgrundläggning,575567,0,311346,575567.0,,
