globalIdentifier,definition,note,identifier,title,parentId,statusId,id,example,parent
b89de2aa-8c53-43e0-a9c0-3df7c2dffb82,funktionellt system som tillhandahåller tjänster,"Det finns tre grupper av funktionella system (siffrorna 1, 2 och 3 betyder dock ingenting, utan är endast en ordningsföljd): 

1. ""utrymmesskapande system"" som ger byggnadsverket sin form, till exempel väggar, bjälklag och överbyggnader.
2. ""installationssystem"" som exempelvis försörjer med media, som värmer och kyler, som trans­porterar och som styr och övervakar.
3. ""utrustande system"" som förser byggnadsverket och dess utrymmen med inredning och utrustning.",2,Installationssystem,0,0,575550,,
c3f0e01e-382d-4a95-ae41-3c2c4c9266f5,utrustande system som leder och styr spårbundna fordon,,R,Spårsystem,575550,0,575565,banöverbyggnad,575550.0
a3b4cf3a-07a1-4578-9195-3e18cccb3f6a,installationssystem som tillhandahåller luftväxling,"Gränsen mellan systemen för luftbehandling, kyla och värme kan dras på olika sätt. Strikt funktionellt hör kylande och värmande objekt till H10 Kylsystem respektive H20 Värmesystem även i de fall de är fysiskt integrerade i objekt som tillhör J Luftbehandlingssystem. Om detta också är praktiskt att göra får avgöras i det enskilda fallet.",J,Luftbehandlingssystem,575550,0,575555,"allmänventilationssystem, specialventilationssystem, teknikutrymmesventilation, tunnelventilationssystem, renrumsventilation, skyddsrumsventilationssystem, platsventilationssystem, nödventilationssystem, brandgaskontrollsystem",575550.0
05912bde-28c7-42f7-bfd3-8ed79e703e68,"luftbehandlingssystem för att omhänderta luftföroreningar från människor, byggmaterial, inventarier o.d.",,J10,Allmänventilationssystem,575555,0,311312,,575555.0
c01c0794-aa1b-4835-8052-2a056b269b37,luftbehandlingssystem för visst utrymme,,J20,Specialventilationssystem,575555,0,311313,,575555.0
ed9c42d6-5ec8-40dc-b132-ff132c9ca1db,specialventilationssystem i teknikutrymme,,J21,Teknikutrymmesventilation,311313,0,312415,"Driftutrymmesventilation
",311313.0
9cccc114-2284-4972-bbbe-66690f75926b,specialventilationssystem i tunnel,,J22,Tunnelventilationssystem,311313,0,312416,,311313.0
2c238fad-9998-46b9-bbca-892c6bdc9b38,specialventilationssystem med högfiltrerad luft,,J23,Renrumsventilation,311313,0,312417,"Behandlingsrumsventilation
",311313.0
a8d7b899-dde1-4b26-8378-84cdea1866e2,specialventilationssystem i utrymme enligt lag om skyddsrum,,J24,Skyddsrumsventilationssystem,311313,0,312418,,311313.0
83ea9e7a-e923-4ab2-b49e-e6f93bb90991,luftbehandlingssystem som omhändertar luftföroreningar och värme från processer så nära källan som möjligt,,J30,Platsventilationssystem,575555,0,311314,"processventilationssystem
",575555.0
